month_start,atc_level3,total_rx_atc3,known_status_rx_atc3,status_coverage_atc3,filled_rx_atc3,refill_adherence_atc3,unique_patients_atc3,pct_female_atc3,median_age_atc3,pct_admin_visits_atc3,low_coverage_flag_atc3
2023-04-01,C03A,1,1,100.0,1,100.0,1,6400.0,1.0,,0
2023-04-01,C03C,5,5,100.0,5,100.0,5,1380.0,4.0,,0
2023-04-01,C03D,6,5,83.33,4,80.0,5,1050.0,6.0,,0
2023-04-01,C03E,3,3,100.0,3,100.0,3,2300.0,3.0,,0
2023-04-01,C04A,3,2,66.67,2,100.0,2,1733.33,3.0,,1
2023-04-01,C07A,18,16,88.89,15,93.75,17,358.33,15.0,,0
2023-04-01,C08C,8,8,100.0,8,100.0,7,893.75,7.0,,0
2023-04-01,C09A,18,16,88.89,15,93.75,16,319.44,14.0,,0
2023-04-01,C09B,26,26,100.0,24,92.31,24,255.77,17.0,,0
2023-04-01,C09C,5,5,100.0,5,100.0,4,1080.0,5.0,,0
2023-04-01,C09D,3,3,100.0,3,100.0,3,2300.0,3.0,,0
2023-04-01,C10A,26,22,84.62,20,90.91,24,238.46,15.0,,0
2023-04-01,C10B,1,1,100.0,1,100.0,1,4600.0,0.0,,0
2023-04-01,D01A,2,2,100.0,1,50.0,2,2700.0,1.0,,0
2023-04-01,D02A,3,3,100.0,2,66.67,3,1966.67,2.0,,0
2023-04-01,D07A,1,1,100.0,1,100.0,1,3200.0,1.0,,0
2023-04-01,D07C,2,1,50.0,1,100.0,2,2850.0,1.0,,1
2023-04-01,D07X,1,1,100.0,0,0.0,1,6300.0,1.0,,0
2023-04-01,D10A,1,1,100.0,1,100.0,1,4900.0,1.0,,0
2023-04-01,G01A,2,2,100.0,1,50.0,2,1925.0,2.0,,0
2023-04-01,G02A,1,0,0.0,0,,1,4500.0,1.0,,1
2023-04-01,G03C,1,1,100.0,1,100.0,1,4900.0,1.0,,0
2023-04-01,G03D,1,1,100.0,1,100.0,1,4700.0,1.0,,0
2023-04-01,G04B,1,1,100.0,1,100.0,1,7900.0,1.0,,0
2023-04-01,G04C,4,4,100.0,4,100.0,4,1625.0,0.0,,0
2023-04-01,H02A,2,2,100.0,2,100.0,2,2075.0,2.0,,0
2023-04-01,H03A,2,1,50.0,1,100.0,2,3075.0,1.0,0.0,1
2023-04-01,H03B,5,4,80.0,4,100.0,4,1040.0,3.0,,0
2023-04-01,ISMT,4,2,50.0,2,100.0,4,1287.5,4.0,0.0,1
2023-04-01,J01C,14,12,85.71,11,91.67,14,375.0,12.0,,0
2023-04-01,J01D,5,4,80.0,3,75.0,5,560.0,3.0,,0
2023-04-01,J01E,2,0,0.0,0,,2,1725.0,1.0,,1
2023-04-01,J01F,6,5,83.33,4,80.0,6,458.33,6.0,,0
2023-04-01,J01M,10,9,90.0,9,100.0,10,560.0,8.0,,0
2023-04-01,J01X,2,1,50.0,1,100.0,2,1725.0,2.0,,1
2023-04-01,J02A,1,1,100.0,1,100.0,1,4900.0,1.0,,0
2023-04-01,J05A,1,1,100.0,1,100.0,1,6300.0,1.0,,0
2023-04-01,M01A,30,28,93.33,28,100.0,28,185.0,23.0,,0
